airport1,x1,y1,airport2,x2,y2,city1,city2
EGHH,-1.84235996,50.78009987,ETHB,9.082210064,52.27840042,", ",", "
EGJJ,-2.19530499,49.20795059,EPCH,19.20324993,50.88469887,", ",", "
FAPI,29.48440075,-23.92610073,ZA-0047,20.32464981,-28.62709999,", ",", "
LFPG,2.581459999,48.9972496,ETAR,7.600684881,49.43449974,", ",", "
LFPL,2.626037478,48.82105064,KCQA,-84.56010056,40.48404884,", ","Celina, Ohio"
LKTB,16.69110394,49.15083885,CJJ4,-100.4985008,49.1507988,", ",", "
ORAA,42.42815018,33.77244949,US-3T9,-103.9365005,29.46965027,", ","Redford, Texas"
USSS,60.80179977,56.74480057,EYKA,24.08477783,54.96392632,", ",", "
VA2D,75.02565002,23.38145065,VA1D,83.04059982,24.12514973,", ",", "
KGFK,-97.17634964,47.95240021,EDPA,10.26464987,48.7778511,"Grand Forks, North Dakota",", "
KCXP,-119.7340012,39.19219971,US-6182,-88.67024994,39.19200134,"Carson City, Nevada","Effingham, Illinois"
KARR,-88.47344971,41.77029991,0C2,-88.70354843,41.77090073,"Chicago/Aurora, Illinois","Hinckley, Illinois"
KEKM,-86.00749969,41.72090149,KSBN,-86.32089996,41.71405029,"Elkhart, Indiana","South Bend, Indiana"
KLUM,-91.86729813,44.89075089,56WI,-89.59564972,44.77325058,"Menomonie, Wisconsin","Mosinee, Wisconsin"
KUSE,-84.12549973,41.61034966,K0S9,-122.8110008,48.05379868,"Wauseon, Ohio","Port Townsend, Washington"
KD98,-82.97589874,42.80170059,LDPL,13.92214966,44.89350128,"Romeo, Michigan",", "
C56,-87.67975235,41.37744904,3W9,-82.79655075,41.69444847,"Monee, Illinois","Middle Bass Island, Ohio"
KC22,-85.63510132,34.15985107,GMFF,-4.977935076,33.92734909,"Centre, Alabama",", "
3TE,-83.93965149,42.02479935,W87,-83.37554932,42.01684952,"Tecumseh, Michigan","Carleton, Michigan"
KVTI,-92.02799988,42.21925163,KMXO,-91.1617012,42.21889877,"Vinton, Iowa","Monticello, Iowa"
K4M2,-93.86334991,35.14949989,AR03,-93.20154953,35.11870003,"Booneville, Arkansas","Centerville, Arkansas"
K13C,-85.26480103,43.45210075,94C,-89.25415039,43.45159912,"Lakeview, Michigan","Rio, Wisconsin"
KTKV,-89.80569839,45.46910095,WI46,-89.80540085,45.4693985,"Tomahawk, Wisconsin","Van Dyne, Wisconsin"
6AR9,-92.69445038,36.41530037,KLKU,-77.9701004,38.00979996,"Flippin, Arkansas","Louisa, Virginia"
K5S0,-122.5025024,43.75264931,88WS,-89.62474823,42.93097687,"Oakridge, Oregon","Verona, Wisconsin"
MO84,-91.1332016,37.71655083,KEHR,-87.68569946,37.80784988,"Viburnum, Missouri","Henderson, Kentucky"
US-4853,-76.9113884,43.06555557,KD95,-83.27079773,43.06529999,"Clyde, New York","Lapeer, Michigan"
1W3,-78.76044846,39.60595131,UDYZ,44.39589882,40.14730072,"Cumberland, Maryland",", "
3G8,-90.1100502,41.43980026,KVPZ,-87.00344849,41.4524498,"Geneseo, Illinois","Valparaiso, Indiana"
62FL,-81.43975067,27.84440041,MMTJ,-116.9705009,32.54104996,"Lake Wales, Florida",", "
OH13,-82.39155197,40.76810074,KHHG,-85.45705032,40.85294914,"Minerva, Ohio","Huntington, Indiana"
OH14,-84.56520081,41.57979965,8B2,-71.54674911,44.26409912,"Sunbury, Ohio","Twin Mountain, New Hampshire"
OH14,-84.56520081,41.57979965,3W9,-82.79655075,41.69444847,"Sunbury, Ohio","Middle Bass Island, Ohio"
WI46,-89.80540085,45.4693985,KTKV,-89.80569839,45.46910095,"Van Dyne, Wisconsin","Tomahawk, Wisconsin"
ETHR,11.10004997,49.2174511,ETIH,11.83615017,49.2181015,", ",", "
GCGM,-17.21459961,28.02965069,RJNY,138.2979965,34.81265068,", ",", "
LZTT,20.2411499,49.07360077,EDFM,8.513365269,49.47274971,", ",", "
RJBK,133.9329987,34.59085083,KVTI,-92.02799988,42.21925163,", ","Vinton, Iowa"
RJFM,131.4485016,31.87714958,NM78,-107.6455002,31.87779999,", ","Columbus, New Mexico"
SVEB,-72.33475113,8.676120281,SKTB,-72.73040009,8.631520271,", ",", "
SVQU,-69.7222023,8.749130249,RJSY,139.7874985,38.81234932,", ",", "
URMS,45.01214981,43.32355118,KAMN,-84.68659973,43.32300186,", ","Alma, Michigan"
KHIE,-71.54584885,44.3675499,DAUE,2.866945028,30.5685997,"Whitefield, New Hampshire",", "
KS39,-120.9034996,44.28864861,KAPA,-104.8400002,39.57054901,"Prineville, Oregon","Denver, Colorado"
K5G6,-77.81844711,41.66469955,YCTM,148.0330048,-34.62554932,"Galeton, Pennsylvania",", "
US-0962,-113.5866394,34.87075806,YSRI,150.7819977,-33.60445023,"Kingman, Arizona",", "
US-5649,-84.97425079,38.91814995,3W3,-76.35884857,38.91809845,"Rising Sun, Indiana","Stevensville, Maryland"
BR-0030,-49.50740051,-2.242549896,CMT,-49.56009865,-2.246899962,", ",", "
CMT,-49.56009865,-2.246899962,BR-0030,-49.50740051,-2.242549896,", ",", "
HEPS,32.24004936,31.27940083,KIDI,-79.10554886,40.63220024,", ","Indiana, Pennsylvania"
LLHB,34.6583004,31.23869991,DAOS,-0.5932765007,35.17179871,", ",", "
OETR,38.73124886,31.69274998,TFFF,-61.00570679,14.59062099,", ",", "
RJNG,136.8694992,35.39410019,RJOR,134.1650009,35.53005028,", ",", "
KLEM,-102.1049995,45.91909981,KHPN,-73.70789719,41.06575012,"Lemmon, South Dakota","White Plains, New York"
ESTL,13.20725012,56.08500099,RJOS,134.6064987,34.13280106,", ",", "
LKER,13.74745035,50.40500069,LKRA,13.74734783,50.40493774,", ",", "
LKRA,13.74734783,50.40493774,LKER,13.74745035,50.40500069,", ",", "
LTCK,41.66119957,38.74774933,VI90,82.56814957,26.44754982,", ",", "
KMCW,-93.33545303,43.15550041,KY74,-102.1410027,47.93510056,"Clear Lake, Iowa","Parshall, North Dakota"
KIDG,-95.44490051,42.33259964,1PA5,-80.4137001,40.83025169,"Ida Grove, Iowa","New Galilee, Pennsylvania"
K9S2,-105.4389992,48.80770111,K9D0,-99.45095062,44.54070091,"Scobey, Montana","Highmore, South Dakota"
CN99,-121.1585846,37.5464344,K1Q4,-121.3009987,37.67779922,"Patterson, California","Tracy, California"
CEH6,-110.2775002,52.33805084,KOWA,-93.26060104,44.12340164,", ","Owatonna, Minnesota"
CYUX,-81.24364853,68.77614975,LEMG,-4.494164944,36.68530083,", ",", "
MM72,-88.17290115,21.15569973,SVUP,-62.3288002,7.979104996,", ",", "
VIAM,76.81475067,30.37164974,YBCS,145.7555008,-16.88309956,", ",", "
KC75,-89.38705063,41.01910019,KLJF,-94.50724792,45.0970993,"Lacon, Illinois","Litchfield, Minnesota"
K8T6,-98.11649704,28.36285019,KNWL,-97.31115341,27.63670063,"George West, Texas","Corpus Christi, Texas"
50TX,-98.52539825,30.13764954,KBAZ,-98.04069901,29.7068491,"Blanco, Texas","New Braunfels, Texas"
KMDA,-98.37919998,29.43204975,06TT,-100.2020035,30.85999966,"San Antonio, Texas","Fort McKavett, Texas"
MM50,-106.7019997,24.42055035,MMCN,-109.8330002,27.39260006,", ",", "
VI40,77.03755188,29.71414948,VTSH,100.6079979,7.186499834,", ",", "
1O6,-122.2719994,41.26305008,38CA,-119.4884987,35.69169998,"Dunsmuir, California","Wasco, California"
YPTN,132.3775024,-14.52155018,YBIE,139.4609985,-24.35554981,", ",", "
4C7,-93.03340149,42.5474987,KD00,-96.40024948,47.26045036,"Ackley, Iowa","Twin Valley, Minnesota"
SD50,-99.74765015,44.53129959,5G3,-99.74740219,44.53089905,"Harrold, South Dakota","Madison, South Dakota"
5G3,-99.74740219,44.53089905,SD50,-99.74765015,44.53129959,"Madison, South Dakota","Harrold, South Dakota"
WAFF,119.9099998,-0.9185180068,ID-0157,119.90839,-0.9156969786,", ",", "
K09K,-99.3404007,41.63694954,KGOK,-97.41559982,35.84980011,"Sargent, Nebraska","Guthrie, Oklahoma"
K84R,-97.16685104,30.03044987,71K,-97.38369751,37.64769936,"Smithville, Texas","Wichita, Kansas"
OK16,-97.66779709,36.36469841,0NE6,-98.0705986,40.43334961,"Fairmont, Oklahoma","Fairfield, Nebraska"
BKPR,21.0359869,42.57168579,LW74,21.42745018,41.01954842,", ",", "
FASS,22.9993,-27.64859962,FEFT,15.78640032,4.221580029,", ",", "
LW74,21.42745018,41.01954842,LW68,21.40839958,41.15069962,", ",", "
KUTS,-95.58715057,30.74685001,KJDD,-95.49644852,32.74219894,"Huntsville, Texas","Mineola, Texas"
KSTF,-88.84859848,33.43309975,K5R2,-88.7534523,30.38964939,"Starkville, Mississippi","Ocean Springs, Mississippi"
KPJY,-89.36045074,37.97789955,91C,-89.75580215,43.29784966,"Pinckneyville, Illinois","Prairie Du Sac, Wisconsin"
KDAF,-90.08514786,44.03340149,KMXA,-90.15455246,35.89444923,"Necedah, Wisconsin","Manila, Arkansas"
37M,-90.15075302,36.04089928,KK06,-90.40364838,39.97284889,"Hornersville, Missouri","Beardstown, Illinois"
US-5154,-89.58214569,36.73282623,KBXA,-89.86494827,30.81369972,"Matthews, Missouri","Bogalusa, Louisiana"
3MO4,-89.62805176,36.45055008,WS96,-89.76735306,42.62080002,"Portageville, Missouri","Monroe, Wisconsin"
