,store_id,address,town,state,zip_code,phone_number,bisc_gravy,store_open_date,store_latitude,store_longitude
7698,6634,908 Hwy 380,Decatur,TEXAS,76234,9406275950,0,1983-06-21,33.231808,-97.596504
7699,4609,108-15/401 Byp,Bennettsville,SOUTH CAROLINA,29512,8434798399,1,1978-06-06,34.607861,-79.679573
7700,35447,1802 Mt Hope Church Road,Mcleansville,NORTH CAROLINA,27406,3366980482,1,2013-02-19,36.057077,-79.6599
7701,24256,17601 Garland Groh Blvd,Hagerstown,MARYLAND,21740,3017456656,0,2000-11-01,39.653746,-77.757941
7702,11118,5015 W Slauson Ave,Los Angeles,CALIFORNIA,90056,3232990974,0,1989-10-20,33.987907,-118.365196
7703,22228,430 First Avenue,Gustine,CALIFORNIA,95322,2098543442,1,2002-03-08,37.259338,-120.999766
7704,17166,5707-13 Church Ave,Brooklyn,NEW YORK,11203,7189226085,0,1996-01-12,40.652718,-73.923203
7705,34606,5 Lumberyard Drive,Bridgton,MAINE,04009,2076479636,0,2012-11-29,44.044821,-70.70008
7706,7475,Rt-95 West  South,Madison,CONNECTICUT,06443,2032459784,0,1985-05-22,41.291849,-72.580126
7707,3965,3903 Hanging Moss Road,Jackson,MISSISSIPPI,39206,6013210680,1,1976-12-20,32.355976,-90.180344
7708,31404,6221 Riverside Place,Albuquerque,NEW MEXICO,87120,5058994135,0,2006-06-24,35.154619,-106.681588
7709,2677,425 Broad Street Ctr,Bloomfield,NEW JERSEY,07003,9734297244,0,1973-12-17,40.808098,-74.191978
7710,10359,13950 Midway Rd,Farmers Branch,TEXAS,75234,9724581952,1,1987-12-08,32.939425,-96.838427
7711,20645,793 E Hwy 96,Bonaire,GEORGIA,31005,4789880313,0,1999-05-26,32.555046,-83.661733
7712,34256,2307 Rankin Hwy,Midland,TEXAS,79701,4326871705,0,2013-05-13,31.974427,-102.074083
7713,5018,13026 Hwy 301,Dade City,FLORIDA,33525,3525670381,1,1979-05-03,28.347804,-82.186942
7714,7025,14204 W 7 Mile,Detroit,MICHIGAN,48235,3133410230,0,1984-07-16,42.431213,-83.185806
7715,31054,130 W Britton Rd,Oklahoma City,OKLAHOMA,73114,4058413331,1,2005-08-29,35.565018,-97.515217
7716,33069,323 Bedford Street,Whitman,MASSACHUSETTS,02333,5086901838,0,2009-07-18,42.069491,-70.947697
7717,12734,3008 Monroe St,Toledo,OHIO,43606,4192434443,1,1993-12-16,41.665254,-83.57058
7718,36841,6405 Nova Dr,Davie,FLORIDA,33317,9544242408,0,2015-01-30,26.086358,-80.229447
7719,717,2835 S Florida Ave,Lakeland,FLORIDA,33803,8636821688,0,1965-03-21,28.011547,-81.957398
7720,14033,487 College Blvd,Oceanside,CALIFORNIA,92057,7607587323,0,1995-12-13,33.24638,-117.291377
7721,23340,1105 West Steel St,Seymour,MISSOURI,65746,4179359848,0,1998-12-23,37.156073,-92.78539
7722,21687,2929 Old Knoxville Hwy,Alcoa,TENNESSEE,37804,8656819500,1,2000-07-19,35.802067,-83.943541
7723,11231,1520 N Naper Blvd,Naperville,ILLINOIS,60563,6305050220,0,1989-12-20,41.798117,-88.11913
7724,1722,1012 N 14th St,Leesburg,FLORIDA,34748,3527878991,0,1971-03-04,28.824311,-81.887029
7725,37303,1978 State Route 60,Lake Wales,FLORIDA,33853,8636768110,1,2014-12-16,27.893637,-81.556428
7726,4170,2387 S Main St,Harrisonburg,VIRGINIA,22801,5404346061,1,1977-07-07,38.420445,-78.894202
7727,11661,851 State Highway 54,Black River Falls,WISCONSIN,54615,7152845538,0,1991-01-17,44.293813,-90.829492
7728,14199,6650 Irwindale Ave,Irwindale,CALIFORNIA,91702,6268158979,0,1994-06-08,34.132659,-117.933217
7729,31687,1901 County Road Fm 1882,Odessa,TEXAS,79763,4323323481,0,2006-03-17,31.817514,-102.380939
7730,5331,2120 N Main St,Pearland,TEXAS,77581,2814856735,0,1980-01-21,29.567684,-95.286738
7731,27753,7161 Sepulveda Blvd,Van Nuys,CALIFORNIA,91406,8189940601,0,2004-12-20,34.200745,-118.466614
7732,20096,3350 Klose Way,Richmond,CALIFORNIA,94806,5102224992,0,1997-04-22,37.983789,-122.318678
7733,10420,909 N 44th,Blackwell,OKLAHOMA,74631,5803633113,1,1987-12-15,36.812117,-97.337548
7734,5761,2501 N Dixie Hwy,Lake Worth,FLORIDA,33460,5615821174,0,1981-03-05,26.643753,-80.056775
7735,4873,1474 N High St,Hillsboro,OHIO,45133,9373931233,1,1978-12-02,39.229487,-83.610402
7736,15272,2231 Grand Island Blvd,Grand Island,NEW YORK,14072,7167758024,0,1995-03-02,43.022703,-78.962882
7737,10070,4292 Crenshaw Blvd,Los Angeles,CALIFORNIA,90008,3232924315,0,1987-03-19,34.005917,-118.333763
7738,15788,1014 Wesley Dr,Mechanicsburg,PENNSYLVANIA,17055,7177617525,0,1996-02-19,40.211265,-76.961301
7739,32802,1013 Commerce Way,Lawrenceburg,KENTUCKY,40342,5028593843,1,2008-05-01,38.068446,-84.918734
7740,12558,1310 N State St,Ukiah,CALIFORNIA,95482,7074638205,0,1995-11-14,39.167996,-123.211872
7741,24939,100 Davis Blvd,Pittsburgh,PENNSYLVANIA,15275,4127881188,0,2002-07-03,40.449186,-80.173152
7742,33205,17017 Sierra Lakes Pkwy,Fontana,CALIFORNIA,92377,9095742087,0,2009-10-28,34.138618,-117.433501
7743,31238,2726 Chapel Hill Rd,Douglasville,GEORGIA,30135,7709475224,0,2005-12-19,33.730942,-84.736538
7744,7249,103 Mcdonald S Lane,Troy,ILLINOIS,62294,6186676252,1,1985-03-11,38.731879,-89.906081
7745,5274,1322 E Main St,Cortez,COLORADO,81321,9705656004,0,1980-01-19,37.349253,-108.567972
7746,15767,105 Jericho Tpke,Jericho,NEW YORK,11753,5168760140,0,1997-06-05,40.779629,-73.560005
7747,16848,7925 Bayside Rd,Chesapeake Beach,MARYLAND,20732,3018554807,0,1995-07-11,38.688587,-76.535592
7748,8016,4637 Shady Oak Rd,Minnetonka,MINNESOTA,55343,9529359475,0,1986-10-16,44.91967,-93.426566
